id,public_name,lat,lng,address,postal_code
tampines-tampinesstreet81-blk823a-deck2a,Tampines/Tampines Street 81/Blk 823A/Deck 2A,1.348868,103.933418,823A Tampines Street 81,521823
jurongwest-boonlaydrive-blk268-deck1a,Jurong West/Boon Lay Drive/Blk 268/Deck 1A,1.348048,103.707724,268 Boon Lay Drive,640268
yishun-yishunstreet11-blk132,Yishun/Yishun Street 11/Blk 132,1.432989,103.831866,132 Yishun Street 11,760132
pasirris-pasirrisdrive1-blk530-deck2a,Pasir Ris/Pasir Ris Drive 1/Blk 530/Deck 2A,1.371297,103.949451,530 Pasir Ris Drive 1,510530
bukitpanjang-bukitpanjangringroad-blk541a-deck1b,Bukit Panjang/Bukit Panjang Ring Road/Blk 541A/Deck 1B,1.382666,103.76305,541A Bukit Panjang Ring Road,671541
bedok-bedoknorthstreet2-blk129,Bedok/Bedok North Street 2/Blk 129,1.327761,103.93846,129 Bedok North Street 2,460129
yishun-yishunringroad-blk809,Yishun/Yishun Ring Road/Blk 809,1.416833,103.83048,800-812 Yishun Ring Road,760806
pasirris-pasirrisstreet11-blk142a-deck2a,Pasir Ris/Pasir Ris Street 11/Blk 142A/Deck 2A,1.362877,103.959842,142A Pasir Ris Street 11,511142
bedok-chaicheeroad-blk807-deck1b,Bedok/Chai Chee Road/Blk 807/Deck 1B,1.327365,103.922862,807 Chai Chee Road,460807
punggol-edgefieldplains-blk119-deck1a,Punggol/Edgefield Plains/Blk 119/Deck 1A,1.395461,103.906424,119 Edgefield Plains,820119
central-orchardroad-plazasingapura-deck4,Central/Orchard Road/Plaza Singapura/Deck 4,1.300802,103.845078,68 Orchard Road,238839
tampines-tampinesstreet71-blk730a-deck1b,Tampines/Tampines Street 71/Blk 730A/Deck 1B,1.357569,103.933658,730A Tampines Street 71,521730
bukitbatok-bukitbatokwestavenue8-blk440-deck2b,Bukit Batok/Bukit Batok West Avenue 8/Blk 440/Deck 2B,1.355694,103.739325,440 Bukit Batok West Avenue 8,650440
kallang-farrerparkroad-blk14a-deck2a,Kallang/Farrer Park Road/Blk 14A/Deck 2A,1.312025,103.85209,14A Farrer Park Road,211014
jurongwest-jurongweststreet93-blk986-deck1a,Jurong West/Jurong West Street 93/Blk 986/Deck 1A,1.337105,103.694607,986 Jurong West Street 93,640986
